filename_fastq	filename_fast5	read_id	run_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	pore_type	experiment_id	sample_id
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	6a371508-8204-4765-93f8-4fad2c87d378	348b2c433e7508a9c227452bb0269a61f4e0eccf	181	1	1194.183250	1.619750	0	FALSE	1194.209250	0	1.593750	179	2.671296	0.000000	91.403351	2.504201	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	3a92c640-4a36-4c68-bae1-dd75017a9acf	348b2c433e7508a9c227452bb0269a61f4e0eccf	172	3	1196.184000	1.379750	0	FALSE	1196.190000	0	1.373750	500	3.648877	0.000000	79.418961	19.854740	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	f3a3ddb1-bbeb-459c-92a4-1faefc9e476d	348b2c433e7508a9c227452bb0269a61f4e0eccf	47	1	1195.325750	1.837750	0	FALSE	1195.442750	0	1.720750	193	3.457479	0.000000	77.272499	4.829531	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	9294233b-bf95-46a9-81ad-c82acca1299a	348b2c433e7508a9c227452bb0269a61f4e0eccf	58	4	1194.587500	4.232250	0	FALSE	1194.665500	0	4.154250	555	2.841470	0.000000	83.890747	2.325330	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	8e46d2c5-38d6-4baf-9aae-d47a443999f2	348b2c433e7508a9c227452bb0269a61f4e0eccf	60	2	1198.340750	1.532750	0	FALSE	1198.433750	0	1.439750	407	3.227377	0.000000	69.223282	14.667465	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	17e15d3a-fecb-4a64-8c10-88081fbe6f82	348b2c433e7508a9c227452bb0269a61f4e0eccf	53	3	1207.300250	1.027000	0	FALSE	1207.476250	0	0.851000	80	3.984819	0.000000	81.386543	9.122448	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	0b6328f7-983e-495a-ba31-6cbcedbb818e	348b2c433e7508a9c227452bb0269a61f4e0eccf	380	3	1206.782500	0.829750	0	FALSE	1206.782500	0	0.829750	306	4.410873	0.000000	91.761093	8.943577	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	323bb3fa-f9f6-4b9e-8d5a-d3a668e7396f	348b2c433e7508a9c227452bb0269a61f4e0eccf	149	2	1205.834750	1.716750	0	FALSE	1205.834750	0	1.716750	150	3.006114	0.000000	67.255692	5.545017	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	9d2e41eb-a0c1-4086-b241-851d86a9c8a8	348b2c433e7508a9c227452bb0269a61f4e0eccf	94	3	1211.166500	1.298250	0	FALSE	1211.176500	0	1.288250	140	3.134030	0.000000	64.393753	1.788715	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	d8d03729-9182-4327-b196-55a9452fbdcd	348b2c433e7508a9c227452bb0269a61f4e0eccf	499	4	1207.847250	4.617750	0	FALSE	1208.196250	0	4.268750	296	2.585111	0.000000	76.378143	3.756302	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	2a9bd9cf-52c0-40e6-8ba0-9666d942149f	348b2c433e7508a9c227452bb0269a61f4e0eccf	487	3	1213.004250	1.462750	0	FALSE	1213.004250	0	1.462750	71	3.663554	0.000000	65.645851	12.878750	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	7bae8c96-8986-48c7-b8d4-b92728e0148a	348b2c433e7508a9c227452bb0269a61f4e0eccf	387	2	1211.728000	2.333250	0	FALSE	1212.584000	0	1.477250	296	3.562917	0.000000	70.654251	8.764705	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	7ee365ac-a863-4730-9054-0d644be79089	348b2c433e7508a9c227452bb0269a61f4e0eccf	256	1	1212.958750	3.027750	0	FALSE	1213.053750	0	2.932750	265	3.230330	0.000000	53.303715	3.935174	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	c24ad1e9-1006-4621-bc8c-24504ed375f9	348b2c433e7508a9c227452bb0269a61f4e0eccf	171	4	1213.626250	2.360500	0	FALSE	1213.696250	0	2.290500	321	3.386787	0.000000	55.450172	6.975989	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	526bbd7e-9cfd-440f-883a-7aaab4048c6a	348b2c433e7508a9c227452bb0269a61f4e0eccf	460	4	1216.551500	0.694750	0	TRUE	1216.551500	0	0.694750	157	7.104142	0.000000	85.858330	9.659062	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	fb32304c-07c2-4db8-9644-be8a1915e31c	348b2c433e7508a9c227452bb0269a61f4e0eccf	396	1	1206.355000	10.583750	0	FALSE	1206.355000	0	10.583750	1615	3.465565	0.000000	77.630241	15.382953	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	bd876065-ce02-44ca-99e1-99f4b6a6e984	348b2c433e7508a9c227452bb0269a61f4e0eccf	60	2	1220.287750	1.331000	0	FALSE	1220.300750	0	1.318000	185	2.799766	0.000000	67.792313	5.366146	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	335e61e2-7412-4dc3-9ce7-fe3aa9d71a8b	348b2c433e7508a9c227452bb0269a61f4e0eccf	453	4	1223.541000	0.782750	0	FALSE	1223.801000	0	0.522750	150	6.891459	0.000000	79.418961	9.301319	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	5061cd66-8b82-482a-913e-ab23f7aaa498	348b2c433e7508a9c227452bb0269a61f4e0eccf	179	1	1226.598500	1.526000	0	FALSE	1226.607500	0	1.517000	315	3.014982	0.000000	75.126045	3.219687	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	79a3a5b3-50d0-4544-8258-cc5cf7ed4c61	348b2c433e7508a9c227452bb0269a61f4e0eccf	251	3	1228.464250	2.197250	0	FALSE	1228.574250	0	2.087250	303	3.097267	0.000000	93.728683	2.683073	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	16331b42-f454-439d-a04e-f50c742a9a30	348b2c433e7508a9c227452bb0269a61f4e0eccf	429	4	1229.123000	3.318500	0	FALSE	1229.123000	0	3.318500	420	3.358539	0.000000	77.451370	13.773108	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	18c93a04-26bb-403e-8471-c47857c1df90	348b2c433e7508a9c227452bb0269a61f4e0eccf	169	4	1231.297000	1.316500	0	FALSE	1231.616000	0	0.997500	85	4.485128	0.000000	56.523403	9.837934	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	77babeac-191b-4e44-b212-5157b1aa1603	348b2c433e7508a9c227452bb0269a61f4e0eccf	265	2	1234.603000	1.474000	0	FALSE	1234.603000	0	1.474000	242	3.218499	0.000000	94.444168	11.447778	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	a1ef8b1e-bc80-4049-92e1-90b70e7da206	348b2c433e7508a9c227452bb0269a61f4e0eccf	380	3	1240.304750	0.886500	0	FALSE	1240.338750	0	0.852500	205	6.668416	0.000000	75.841530	7.512604	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	eb66b056-87dc-456b-83d9-4b0bec200e98	348b2c433e7508a9c227452bb0269a61f4e0eccf	416	3	1241.220250	1.179250	0	FALSE	1241.229250	0	1.170250	242	4.259057	0.000000	99.631439	23.789913	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	6d787660-5a34-4f17-b720-d3272d453fe0	348b2c433e7508a9c227452bb0269a61f4e0eccf	319	3	1244.757000	0.649000	0	TRUE	1244.867000	0	0.539000	166	7.133710	0.000000	77.272499	7.870347	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	e9c40d89-2e68-44f9-b376-5119532716b6	348b2c433e7508a9c227452bb0269a61f4e0eccf	380	3	1249.866500	0.975500	0	FALSE	1249.918500	0	0.923500	117	4.418902	0.000000	75.304916	8.228090	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	0b3b8bde-f8e9-4b18-ac4b-d23a961ed657	348b2c433e7508a9c227452bb0269a61f4e0eccf	51	2	1244.597250	6.861000	0	FALSE	1244.597250	0	6.861000	1060	3.355718	0.000000	74.589424	10.911164	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	e7b59008-c8ae-4442-a322-403571230a2c	348b2c433e7508a9c227452bb0269a61f4e0eccf	188	1	1246.367750	6.859000	0	FALSE	1246.369750	0	6.857000	706	3.170000	0.000000	56.165661	3.219687	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	db78c352-5f88-4af1-821c-dd6c2768ec05	348b2c433e7508a9c227452bb0269a61f4e0eccf	242	4	1253.022000	1.150750	0	FALSE	1253.022000	0	1.150750	280	3.223811	0.000000	70.833122	6.260503	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	a7f3cc9c-ebc4-421e-949c-d593e2fc0623	348b2c433e7508a9c227452bb0269a61f4e0eccf	87	3	1256.146250	2.582500	0	FALSE	1256.197250	0	2.531500	222	2.752087	0.000000	81.386543	3.577430	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	a6bc2f46-1446-4257-ba0f-cae09c858dd4	348b2c433e7508a9c227452bb0269a61f4e0eccf	92	3	1260.775500	1.285250	0	FALSE	1260.775500	0	1.285250	202	3.455274	0.000000	82.459778	8.943577	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	871d340b-b300-43e1-946d-e66c812ed45f	348b2c433e7508a9c227452bb0269a61f4e0eccf	30	1	1264.560750	1.825500	0	FALSE	1264.611750	0	1.774500	270	3.033503	0.000000	61.531807	1.967587	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	ff9b9972-cc07-4d2f-9348-938284ca8c65	348b2c433e7508a9c227452bb0269a61f4e0eccf	297	3	1266.587000	0.915750	0	FALSE	1266.693000	0	0.809750	180	4.095013	0.000000	81.028801	6.260503	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	94e0aafc-0773-4539-bea8-2cd8273c3d2d	348b2c433e7508a9c227452bb0269a61f4e0eccf	362	2	1268.085750	1.316000	0	FALSE	1268.150750	0	1.251000	180	3.970834	0.000000	63.678265	8.228090	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	169e9498-fc34-4bd7-9e4c-b9b73ef1f46a	348b2c433e7508a9c227452bb0269a61f4e0eccf	49	2	1269.113250	1.332500	0	FALSE	1269.210250	0	1.235500	220	2.937326	0.000000	80.671059	3.398559	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	43278ddb-5af2-46e3-b9f6-c06e27fc5672	348b2c433e7508a9c227452bb0269a61f4e0eccf	450	2	1273.064000	1.369750	0	FALSE	1273.098000	0	1.335750	110	4.936015	0.000000	81.386543	10.732291	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	d1a4a5e3-d701-42f4-ba9d-75e28def4804	348b2c433e7508a9c227452bb0269a61f4e0eccf	382	4	1279.055500	0.966500	0	FALSE	1279.306500	0	0.715500	203	5.297464	0.000000	76.914757	5.366146	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	c376b06b-9930-48e2-9467-6e43dde75d7a	348b2c433e7508a9c227452bb0269a61f4e0eccf	123	4	1277.243750	2.161250	0	FALSE	1277.270750	0	2.134250	334	3.105696	0.000000	60.637447	3.935174	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	d42dc29c-922b-4bca-9112-b20d66406aec	348b2c433e7508a9c227452bb0269a61f4e0eccf	75	1	1286.427500	0.701000	0	FALSE	1286.503500	0	0.625000	149	6.246797	0.000000	78.524597	7.512604	not_set	Cuke_1	1
FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fastq	FAL23961_348b2c433e7508a9c227452bb0269a61f4e0eccf_0.fast5	6b39dfa5-b732-4a1d-bf89-70e8deaed9cb	348b2c433e7508a9c227452bb0269a61f4e0eccf	331	1	1281.521500	6.908000	0	FALSE	1281.567500	0	6.862000	776	2.610029	0.000000	82.459778	2.325330	not_set	Cuke_1	1
